Source,Target
0,10
0,13
0,21
1,25
1,20
1,11
2,7
2,21
2,24
3,23
3,19
3,4
4,27
4,10
4,20
5,15
5,13
5,3
6,4
6,11
6,1
7,17
7,4
7,18
8,28
8,12
8,16
9,12
9,26
9,15
10,12
10,9
10,2
11,1
11,13
11,24
12,22
12,5
12,8
13,9
13,11
13,23
14,11
14,9
14,17
15,17
15,12
15,7
16,9
16,27
16,5
17,11
17,6
17,16
18,15
18,17
18,10
19,18
19,5
19,0
20,1
20,3
20,15
21,29
21,2
21,27
22,29
22,17
22,15
23,29
23,11
23,25
24,15
24,16
24,25
25,24
25,13
25,9
26,20
26,8
26,12
27,15
27,28
27,2
28,24
28,15
28,22
29,15
29,28
29,4
