Source,Target
0,29
0,13
0,25
0,28
0,27
0,12
0,9
0,15
0,8
0,24
0,20
0,10
0,14
0,4
0,5
1,22
1,27
1,4
1,10
1,23
1,20
1,3
1,9
1,8
1,28
1,0
1,7
1,25
1,5
1,21
2,5
2,27
2,25
2,1
2,3
2,21
2,9
2,19
2,22
2,12
2,18
2,4
2,7
2,16
2,15
3,22
3,4
3,23
3,0
3,19
3,17
3,15
3,24
3,2
3,25
3,10
3,21
3,6
3,12
3,1
4,2
4,27
4,14
4,24
4,20
4,11
4,17
4,29
4,8
4,10
4,28
4,7
4,19
4,18
4,16
5,22
5,9
5,16
5,2
5,6
5,15
5,27
5,26
5,14
5,8
5,3
5,11
5,19
5,25
5,21
6,9
6,17
6,24
6,14
6,5
6,19
6,28
6,16
6,2
6,26
6,13
6,18
6,27
6,20
6,25
7,15
7,19
7,2
7,22
7,9
7,6
7,17
7,14
7,21
7,10
7,24
7,13
7,1
7,27
7,5
8,11
8,29
8,13
8,0
8,6
8,19
8,25
8,21
8,4
8,1
8,18
8,12
8,16
8,2
8,7
9,0
9,16
9,26
9,25
9,2
9,29
9,22
9,1
9,23
9,19
9,11
9,4
9,13
9,8
9,21
10,16
10,11
10,7
10,18
10,2
10,5
10,9
10,0
10,21
10,27
10,14
10,20
10,4
10,13
10,24
11,8
11,26
11,16
11,25
11,17
11,9
11,18
11,0
11,24
11,29
11,20
11,23
11,15
11,22
11,2
12,11
12,9
12,17
12,7
12,2
12,23
12,18
12,29
12,16
12,3
12,14
12,25
12,13
12,15
12,6
13,23
13,1
13,11
13,29
13,0
13,27
13,22
13,25
13,21
13,7
13,20
13,3
13,24
13,18
13,19
14,7
14,0
14,15
14,13
14,20
14,6
14,16
14,3
14,18
14,25
14,26
14,11
14,5
14,28
14,17
15,5
15,25
15,13
15,23
15,24
15,22
15,27
15,17
15,2
15,18
15,26
15,19
15,10
15,28
15,12
16,24
16,5
16,4
16,10
16,14
16,19
16,28
16,11
16,2
16,18
16,7
16,8
16,21
16,1
16,17
17,5
17,29
17,0
17,16
17,19
17,18
17,23
17,15
17,25
17,7
17,9
17,14
17,8
17,13
17,3
18,3
18,6
18,2
18,16
18,17
18,20
18,7
18,26
18,13
18,1
18,22
18,9
18,10
18,11
18,25
19,7
19,2
19,20
19,10
19,15
19,16
19,13
19,9
19,25
19,29
19,1
19,8
19,18
19,5
19,22
20,22
20,14
20,1
20,15
20,8
20,29
20,23
20,9
20,6
20,11
20,2
20,13
20,27
20,12
20,5
21,28
21,8
21,4
21,3
21,15
21,22
21,16
21,7
21,17
21,19
21,6
21,29
21,18
21,13
21,12
22,17
22,2
22,11
22,8
22,24
22,16
22,6
22,26
22,21
22,1
22,13
22,12
22,7
22,10
22,25
23,0
23,7
23,2
23,17
23,20
23,27
23,12
23,3
23,13
23,24
23,11
23,4
23,8
23,18
23,9
24,18
24,7
24,2
24,22
24,20
24,25
24,29
24,19
24,28
24,3
24,14
24,26
24,9
24,5
24,17
25,6
25,4
25,28
25,2
25,3
25,9
25,11
25,24
25,23
25,18
25,8
25,26
25,10
25,20
25,22
26,20
26,14
26,28
26,2
26,5
26,4
26,11
26,29
26,23
26,7
26,0
26,24
26,19
26,1
26,3
27,15
27,25
27,20
27,2
27,5
27,19
27,12
27,26
27,11
27,0
27,17
27,6
27,24
27,3
27,14
28,10
28,11
28,4
28,5
28,0
28,16
28,23
28,27
28,26
28,17
28,18
28,6
28,19
28,15
28,21
29,16
29,8
29,5
29,24
29,10
29,6
29,17
29,0
29,7
29,20
29,18
29,25
29,22
29,11
29,3
